chemical_allowable_MPa,key_multiplier,endurance_ratio,static_strength_MPa,endurance_limit_MPa,total_damage,fatigue_SF,fatigue_life_km
3.0,1.0,0.2,3.0,0.6000000000000001,0.13938547480155386,7.17,7174.3
3.0,1.0,0.25,3.0,0.75,0.06829058423312633,14.64,14643.3
3.0,1.0,0.3,3.0,0.8999999999999999,0.02349384945748925,42.56,42564.3
3.0,2.0,0.2,6.0,1.2000000000000002,0.0010464672112714892,955.6,955596.1
3.0,2.0,0.25,6.0,1.5,4.283550555449937e-05,23345.12,23345119.6
3.0,2.0,0.3,6.0,1.7999999999999998,0.0,,
3.0,3.0,0.2,9.0,1.8,0.0,,
3.0,3.0,0.25,9.0,2.25,0.0,,
3.0,3.0,0.3,9.0,2.6999999999999997,0.0,,
5.0,1.0,0.2,5.0,1.0,0.0062237955967826405,160.67,160673.7
5.0,1.0,0.25,5.0,1.25,0.0008454781773008128,1182.76,1182762.6
5.0,1.0,0.3,5.0,1.5,4.8443160384030726e-05,20642.75,20642749.0
5.0,2.0,0.2,10.0,2.0,0.0,,
5.0,2.0,0.25,10.0,2.5,0.0,,
5.0,2.0,0.3,10.0,3.0,0.0,,
5.0,3.0,0.2,15.0,3.0,0.0,,
5.0,3.0,0.25,15.0,3.75,0.0,,
5.0,3.0,0.3,15.0,4.5,0.0,,
7.0,1.0,0.2,7.0,1.4000000000000001,5.037494804075349e-05,19851.14,19851137.1
7.0,1.0,0.25,7.0,1.75,0.0,,
7.0,1.0,0.3,7.0,2.1,0.0,,
7.0,2.0,0.2,14.0,2.8000000000000003,0.0,,
7.0,2.0,0.25,14.0,3.5,0.0,,
7.0,2.0,0.3,14.0,4.2,0.0,,
7.0,3.0,0.2,21.0,4.2,0.0,,
7.0,3.0,0.25,21.0,5.25,0.0,,
7.0,3.0,0.3,21.0,6.3,0.0,,
